Ruta_ID,Continente,Pais,Nombre_Ruta,Punto_1,Punto_2,Punto_3,Punto_4,Punto_5
R001,Europa,Francia,Ruta Parisina,Museo del Louvre,Jardín de las Tullerías,Torre Eiffel,Arco del Triunfo,Montmartre
R002,Europa,Francia,Ruta de Provenza,Jardines de Vaucluse,Palacio de los Papas,Campos de Lavanda,Calanques de Marsella,Fort Saint-Jean
R003,Europa,Francia,Ruta Normanda,Monte Saint-Michel,Catedral de Rouen,Playa de Omaha,Memorial de Caen,Jardines de Giverny
R004,Europa,España,Ruta Andaluza,Alhambra de Granada,Mezquita de Córdoba,Alcázar de Sevilla,Plaza de España,Giralda
R005,Europa,España,Ruta Catalana,Sagrada Familia,Parque Güell,Casa Batlló,Monasterio de Montserrat,Palau de la Música Catalana
R006,Europa,España,Ruta Vasca,Guggenheim Bilbao,San Juan de Gaztelugatxe,Plaza Nueva,Basílica de Begoña,Monte Urgull
R007,Europa,Italia,Ruta Romana,Coliseo,Foro Romano,Panteón,Fontana di Trevi,Plaza Navona
R008,Europa,Italia,Ruta Toscana,Catedral de Florencia,Torre de Pisa,Plaza del Campo,Puente Vecchio,Palazzo Pitti
R009,Europa,Italia,Ruta Veneciana,Plaza de San Marcos,Gran Canal,Puente de Rialto,Palazzo Ducale,Basilica di Santa Maria Gloriosa
R010,América del Norte,Estados Unidos,Ruta de California,Golden Gate Bridge,Parque Nacional Yosemite,Hollywood Sign,Malibu Beach,Parque Balboa
R011,América del Norte,Estados Unidos,Ruta Noreste,Estatua de la Libertad,Central Park,Faneuil Hall,Acadia National Park,Old North Church
R012,América del Norte,Estados Unidos,Ruta Sureña,The French Quarter,Universal Studios Orlando,Savannah Historic District,Charleston Battery,Graceland
R013,Asia,China,Ruta Imperial,Ciudad Prohibida,Gran Muralla,Templo del Cielo,Guerreros de Terracota,Jardines de Suzhou
R014,Asia,China,Ruta del Sur,Cueva de la Flauta de Caña,Colinas de Yangshuo,Torre del Tambor,Victoria Peak,Jardín Nan Lian
R015,Asia,China,Ruta del Yangtze,Bund de Shanghai,Templo Jing'an,Tres Gargantas,Jardín Yuyuan,Monte Tai
